trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-52.3686375012537,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-130.71619605827112,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",30,0,-152.65503080340358,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",30,0,-277.57364831667826,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 6}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-142.99211795879611,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-61.909748560789296,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-116.36032278351665,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,0,-138.1926510393624,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",30,0,-221.77584276642742,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",30,0,-135.42548707191696,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-76.68051693583612,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-199.8840389494072,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-154.081678965199,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,0,-95.24920331736139,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,10,-65.93435370641268,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,-107.29201174509402,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,2,-109.8617664964646,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 2}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",35,0,-206.76593047981214,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-59.61459828577799,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,-116.20085592803582,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-189.40388027412803,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,0,-61.390416208136905,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,13,-3.760648686539003,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-117.40850983281008,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",35,0,-285.67672050929343,"{0: 17, 1: 3, 2: 9, 3: 2, 4: 4}",0
